event_id,symbol,entry_day,exit_day,holding_days,entry_date,exit_date,ex_date,entry_price,exit_price,raw_return,net_return,daily_net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend,dividend_yield_on_entry,etf_name,entry_year,strategy_entry_day,strategy_exit_day,strategy_holding_days,exit_year,category
00713_20250620,00713,-10,-1,9,2025-06-06,2025-06-19,2025-06-20,47.97454071044922,48.30186080932617,0.0068227875458464204,0.005222787545846421,0.0005803097273162689,0.0029,0.0037,0.0008000000000000004,0.7847684826246011,1.1,0.021442495445600892,元大台灣高息低波,2025,-10,-1,9,2025,high_dividend
0056_20250721,0056,-10,-1,9,2025-07-07,2025-07-18,2025-07-21,31.689058303833008,32.389617919921875,0.022107303075147966,0.020507303075147965,0.002278589230571996,0.0011,0.0023,0.0012,1.4679300185626527,0.866,0.024863622006125418,元大高股息,2025,-10,-1,9,2025,high_dividend
00878_20250818,00878,-10,-1,9,2025-08-04,2025-08-15,2025-08-18,19.461294174194336,19.535154342651367,0.0037952341604789996,0.0021952341604789998,0.00024391490671988886,0.0009,0.0028,0.0019,1.409210738129245,0.4,0.01897533213698781,國泰永續高股息,2025,-10,-1,9,2025,high_dividend
00919_20250916,00919,-10,-1,9,2025-09-02,2025-09-15,2025-09-16,19.605499267578125,20.05652236938477,0.023004928140366587,0.021404928140366587,0.0023783253489296206,0.0019,0.0023,0.00039999999999999996,1.776015624835425,0.54,0.025352113584137453,群益台灣精選高息,2025,-10,-1,9,2025,high_dividend
00713_20250919,00713,-10,-1,9,2025-09-05,2025-09-18,2025-09-19,49.20960235595703,49.54404067993164,0.006796200496713034,0.005196200496713034,0.0005773556107458927,-0.0046,-0.0037,0.0008999999999999998,1.0266845920367786,0.78,0.015145631067961166,元大台灣高息低波,2025,-10,-1,9,2025,high_dividend
0056_20251023,0056,-10,-1,9,2025-10-08,2025-10-22,2025-10-23,34.903648376464844,35.20205307006836,0.008549384018111006,0.006949384018111006,0.0007721537797901117,-0.0016,0.0011,0.0027,1.0499180195978433,0.866,0.0231365213181751,元大高股息,2025,-10,-1,9,2025,high_dividend
00878_20251118,00878,-10,-1,9,2025-11-04,2025-11-17,2025-11-18,20.29736328125,19.864501953125,-0.02132598811614428,-0.02292598811614428,-0.00254733201290492,-0.0009,0.0052,0.0060999999999999995,1.5390842707843306,0.4,0.01854427471762928,國泰永續高股息,2025,-10,-1,9,2025,high_dividend
00919_20251216,00919,-10,-1,9,2025-12-02,2025-12-15,2025-12-16,20.39630126953125,20.943727493286133,0.026839485087065684,0.025239485087065684,0.002804387231896187,-0.0009,-0.0009,0.0,0.7061445346796096,0.54,0.024988430576042223,群益台灣精選高息,2025,-10,-1,9,2025,high_dividend
00713_20251219,00713,-10,-1,9,2025-12-05,2025-12-18,2025-12-19,48.94256210327149,49.62165069580078,0.013875215422853637,0.012275215422853637,0.0013639128247615153,-0.0040999999999999,-0.001,0.0030999999999998997,0.4522822409631896,0.78,0.015460852095229058,元大台灣高息低波,2025,-10,-1,9,2025,high_dividend
0056_20260122,0056,-10,-1,9,2026-01-08,2026-01-21,2026-01-22,35.704063415527344,36.467586517333984,0.02138476769214437,0.019784767692144368,0.0021983075213493743,0.0008,0.0039,0.0031,1.616866255110642,0.866,0.02314889076536328,元大高股息,2026,-10,-1,9,2026,high_dividend
00878_20260226,00878,-10,-1,9,2026-02-03,2026-02-25,2026-02-26,21.87876892089844,23.020187377929688,0.05217014088671923,0.05057014088671923,0.005618904542968804,0.0004,-0.0017,-0.0021,0.9681528270371177,0.42,0.018412977195685694,國泰永續高股息,2026,-10,-1,9,2026,high_dividend
00919_20260317,00919,-10,-1,9,2026-03-03,2026-03-16,2026-03-17,23.516950607299805,23.1299991607666,-0.01645415058247779,-0.01805415058247779,-0.0020060167313864213,0.0029,0.0046,0.0017000000000000001,3.3878685983152965,0.78,0.03208556220220234,群益台灣精選高息,2026,-10,-1,9,2026,high_dividend
00713_20260320,00713,-10,-1,9,2026-03-06,2026-03-19,2026-03-20,51.81851577758789,51.720001220703125,-0.0019011458627569144,-0.0035011458627569143,-0.00038901620697299045,-0.0062,-0.001,0.0052,0.6589894362674134,0.78,0.014828897768576092,元大台灣高息低波,2026,-10,-1,9,2026,high_dividend
0056_20260423,0056,-10,-1,9,2026-04-09,2026-04-22,2026-04-23,38.162845611572266,41.61000061035156,0.09032751472112444,0.08872751472112443,0.009858612746791603,-0.0066,,,0.5666905003276417,1.0,0.025588535136796133,元大高股息,2026,-10,-1,9,2026,high_dividend
