event_id,symbol,entry_date,exit_date,ex_date,entry_year,entry_day,exit_day,holding_days,buffer_days_used,actual_net_return,actual_daily_return,matched_placebo_mean_daily_return,matched_placebo_median_daily_return,event_excess_daily_return,event_excess_daily_return_vs_median,random_sample_count,entry_premium,exit_premium,entry_volume_ratio,dividend_yield_on_entry,etf_name,category
00878_20210817,00878,2021-08-03,2021-08-16,2021-08-17,2021,-10,-1,9,20,-0.017284020389248877,-0.001920446709916542,0.0007578459740478696,0.0006233533492447487,-0.0026782926839644117,-0.0025438000591612906,385,-0.0005,0.0121999999999999,1.626814215437149,0.01622498668002189,國泰永續高股息,high_dividend
00878_20211116,00878,2021-11-02,2021-11-15,2021-11-16,2021,-10,-1,9,20,0.026208141102781735,0.0029120156780868597,0.0006622384664224522,0.0004912244488393905,0.0022497772116644075,0.0024207912292474694,388,0.0022,0.0021,2.1931799103784604,0.015267175445496942,國泰永續高股息,high_dividend
00878_20220222,00878,2022-02-08,2022-02-21,2022-02-22,2022,-10,-1,9,20,0.012260293696311698,0.0013622548551457442,-0.0021223658282635257,-0.002015283818152828,0.00348462068340927,0.0033775386732985725,359,0.0036,0.0040999999999999,2.13826244187398,0.01540041103951482,國泰永續高股息,high_dividend
00878_20220518,00878,2022-05-04,2022-05-17,2022-05-18,2022,-10,-1,9,20,-0.051520734446575074,-0.005724526049619452,-0.0018376839543944449,-0.0018798626447591891,-0.0038868420952250073,-0.0038446634048602633,359,0.0021,0.0045,1.3331913678607208,0.016994158326954407,國泰永續高股息,high_dividend
00878_20220816,00878,2022-08-02,2022-08-15,2022-08-16,2022,-10,-1,9,20,0.030561907616538254,0.003395767512948695,-0.0021061836604509524,-0.002015283818152828,0.005501951173399647,0.005411051331101523,391,0.0024,0.0034999999999999,2.05604747321288,0.01667659230090076,國泰永續高股息,high_dividend
00878_20221116,00878,2022-11-02,2022-11-15,2022-11-16,2022,-10,-1,9,20,0.05845068594444274,0.006494520660493638,-0.0018546789348297737,-0.001971947159036204,0.008349199595323412,0.008466467819529842,405,0.0032,0.0006,1.3284225294276426,0.01769911538567265,國泰永續高股息,high_dividend
00878_20230216,00878,2023-02-02,2023-02-15,2023-02-16,2023,-10,-1,9,20,0.0007364195750021909,8.182439722246566e-05,0.0016222297074297836,0.0014872876036472892,-0.0015404053102073178,-0.0014054632064248234,335,0.0029,0.0034999999999999,2.028820272263761,0.01577102726427729,國泰永續高股息,high_dividend
00878_20230517,00878,2023-05-03,2023-05-16,2023-05-17,2023,-10,-1,9,20,0.01422816752740479,0.0015809075030449767,0.0016419201193513052,0.0016226613090449126,-6.10126163063285e-05,-4.1753805999935906e-05,386,0.0017,0.0006,1.6478533030903055,0.015262859912309407,國泰永續高股息,high_dividend
00878_20230816,00878,2023-08-01,2023-08-15,2023-08-16,2023,-10,-1,9,20,-0.021718884775526037,-0.002413209419502893,0.0015155057979310315,0.0016164217698687762,-0.003928715217433924,-0.004029631189371669,366,-0.005,0.0060999999999999,2.266276357317813,0.01600365736484665,國泰永續高股息,high_dividend
00878_20231116,00878,2023-11-02,2023-11-15,2023-11-16,2023,-10,-1,9,20,0.034973174365398534,0.0038859082628220592,0.001937009197557355,0.0016164217698687762,0.0019488990652647043,0.002269486492953283,349,0.0015,0.0039,0.9552302803706452,0.017535070944581007,國泰永續高股息,high_dividend
00878_20240227,00878,2024-02-02,2024-02-26,2024-02-27,2024,-10,-1,9,20,0.02402928305648726,0.0026699203396096955,0.00030573286153868286,0.0008277408967431074,0.0023641874780710127,0.0018421794428665882,406,-0.0005,0.0049,1.1016018750150647,0.018306635835998748,國泰永續高股息,high_dividend
00878_20240517,00878,2024-05-03,2024-05-16,2024-05-17,2024,-10,-1,9,20,0.05535075694399199,0.006150084104887999,0.0006855337459190415,0.0010169653524492223,0.005464550358968957,0.005133118752438776,378,0.0027,,0.9823137880723047,0.02286995593938976,國泰永續高股息,high_dividend
00878_20240816,00878,2024-08-02,2024-08-15,2024-08-16,2024,-10,-1,9,20,0.009768404940726106,0.001085378326747345,0.0005300627340540973,0.000906239467707199,0.0005553155926932477,0.000179138859040146,384,0.0056999999999999,0.0069999999999999,4.531869850801723,0.024048971570498467,國泰永續高股息,high_dividend
00878_20241118,00878,2024-11-04,2024-11-15,2024-11-18,2024,-10,-1,9,20,-0.006851544191496871,-0.0007612826879440967,0.0004909595467944355,0.0008643638696521925,-0.0012522422347385322,-0.0016256465575962891,385,0.0018,,2.550244912845987,0.02407002148000068,國泰永續高股息,high_dividend
00878_20250220,00878,2025-02-06,2025-02-19,2025-02-20,2025,-10,-1,9,20,0.027996563953158127,0.003110729328128681,-0.0008739914421618366,0.00024772827382661726,0.003984720770290518,0.0028630010543020637,373,,,1.5609815646064409,0.022421525430774275,國泰永續高股息,high_dividend
00878_20250519,00878,2025-05-05,2025-05-16,2025-05-19,2025,-10,-1,9,20,0.04106813965037786,0.004563126627819762,-0.0008006796116398913,0.00024937511006167703,0.005363806239459653,0.004313751517758085,364,0.002,0.0043,1.4100551530054597,0.02305051564830398,國泰永續高股息,high_dividend
00878_20250818,00878,2025-08-04,2025-08-15,2025-08-18,2025,-10,-1,9,20,0.0021952341604789998,0.00024391490671988886,-0.0006647447205694893,0.00040038768054977185,0.0009086596272893781,-0.00015647277382988299,367,0.0009,0.0028,1.409210738129245,0.01897533213698781,國泰永續高股息,high_dividend
